2018-19 Advanced Placement Participation - All Subjects - All Students,,,,,,,,
District Name,District Code,Tests Takers,Tests Taken,One Test,Two Tests,Three Tests,Four Tests,Five or More Tests
Triton,07730000,     110,     200,      56,      33,      12,       3,       6
Tyngsborough,03010000,      89,     108,      70,      19,       0,       0,       0
Upper Cape Cod Regional Vocational Technical,08790000,      14,      17,      11,       3,       0,       0,       0
Uxbridge,03040000,      77,     151,      23,      37,      14,       3,       0
Wachusett,07750000,     388,     724,     176,     127,      53,      25,       7
Wakefield,03050000,     203,     399,      89,      56,      37,      18,       3
Walpole,03070000,     212,     430,      95,      56,      36,      12,      13
Waltham,03080000,     306,     546,     142,     104,      47,      10,       3
Ware,03090000,      37,      54,      23,      11,       3,       0,       0
Wareham,03100000,      67,     109,      37,      20,       8,       2,       0
Watertown,03140000,     102,     162,      59,      30,      10,       2,       1
Wayland,03150000,     257,     497,     131,      56,      36,      24,      10
Webster,03160000,     124,     240,      48,      46,      20,      10,       0
Wellesley,03170000,     403,     861,     152,     111,      85,      44,      11
West Boylston,03220000,      64,      87,      46,      13,       5,       0,       0
West Bridgewater,03230000,     121,     215,      53,      44,      22,       2,       0
West Springfield,03320000,     226,     438,      95,      72,      40,      16,       3
Westborough,03210000,     293,     543,     147,      72,      50,      18,       6
Westfield,03250000,     315,     502,     197,      68,      37,       8,       5
Westford,03260000,     439,     888,     187,     124,      76,      36,      16
Weston,03300000,     340,     726,     157,      75,      45,      40,      23
Westport,03310000,      76,     132,      34,      28,      14,       0,       0
Westwood,03350000,     382,     726,     202,      85,      48,      30,      17
Weymouth,03360000,     278,     530,     116,     100,      44,       9,       9
Whitman-Hanson,07800000,     360,     677,     161,     117,      55,      19,       8
Whittier Regional Vocational Technical,08850000,       5,,,,,,
Wilmington,03420000,     204,     343,     113,      50,      35,       5,       1
Winchendon,03430000,      35,      61,      17,      10,       8,       0,       0
Winchester,03440000,     308,     675,     130,      72,      54,      30,      22
Winthrop,03460000,     163,     318,      72,      36,      47,       7,       1
Woburn,03470000,     213,     322,     129,      64,      16,       3,       1
Worcester,03480000,"   1,568","   2,593",     886,     425,     189,      56,      12
State Totals,00000000,"  56,380"," 104,854","  27,209","  16,185","   8,365","   3,284","   1,337"
