2018-19  Graduates Attending Institutions of Higher Education (District) - All Students - All Colleges and Universities,,,,,,,,,,,
District Name,District Code,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%)
Gill-Montague,06740000,46,30,65.2,0,13.3,53.3,33.3,53.3,16.7,13.3
Global Learning Charter Public (District),04960000,44,35,79.5,0,11.4,60,28.6,60,5.7,22.9
Gloucester,01070000,212,113,53.3,0,31,23,46,22.1,15.9,16.8
Grafton,01100000,221,190,86,0,42.6,14.2,42.6,14.2,10,14.7
Granby,01110000,48,32,66.7,0,40.6,31.3,28.1,31.3,9.4,6.3
Greater Fall River Regional Vocational Technical,08210000,314,164,52.2,0,17.1,57.3,25.6,56.1,2.4,17.1
Greater Lawrence Regional Vocational Technical,08230000,350,158,45.1,0,12,67.7,20.3,66.5,12,7.6
Greater Lowell Regional Vocational Technical,08280000,503,223,44.3,0,15.2,62.8,22,62.3,6.3,14.3
Greater New Bedford Regional Vocational Technical,08250000,475,241,50.7,0.4,13.3,58.1,27.4,56.4,7.9,17.4
Greenfield,01140000,81,49,60.5,0,24.5,44.9,30.6,44.9,14.3,10.2
Greenfield Commonwealth Virtual District,39010000,32,14,43.8,0,21.4,64.3,14.3,57.1,7.1,7.1
Groton-Dunstable,06730000,202,182,90.1,0,35.2,11.5,53.3,11.5,9.9,27.5
Hadley,01170000,50,37,74,0,40.5,27,32.4,27,2.7,24.3
Hamilton-Wenham,06750000,144,128,88.9,0,53.1,7.8,39.1,7,3.9,11.7
Hampden Charter School of Science East (District),04990000,36,33,91.7,0,39.4,39.4,21.2,39.4,12.1,3
Hampden-Wilbraham,06800000,289,240,83,0,43.8,24.2,32.1,20,10,12.1
Hampshire,06830000,85,68,80,0,32.4,39.7,27.9,39.7,10.3,8.8
Hanover,01220000,213,190,89.2,0,51.1,5.8,43.2,5.8,15.3,15.3
Harvard,01250000,105,90,85.7,0,58.9,2.2,38.9,2.2,4.4,12.2
Hatfield,01270000,28,23,82.1,0,21.7,43.5,34.8,43.5,21.7,4.3
Haverhill,01280000,377,238,63.1,0,25.6,38.7,35.7,37,9.2,17.2
Hingham,01310000,275,236,85.8,0,60.6,4.7,34.7,4.7,2.5,12.3
Holbrook,01330000,54,42,77.8,0,19,50,31,50,4.8,23.8
Holliston,01360000,174,154,88.5,0,51.9,3.2,44.8,3.2,6.5,13
Holyoke,01370000,302,164,54.3,0,26.8,60.4,12.8,58.5,10.4,1.8
Hopedale,01380000,75,57,76,0,40.4,12.3,47.4,8.8,17.5,7
Hopkinton,01390000,282,249,88.3,0,46.2,1.2,52.6,1.2,7.6,14.1
Hudson,01410000,176,131,74.4,0,29.8,22.1,48.1,21.4,15.3,14.5
Hull,01420000,74,50,67.6,0,32,8,60,8,22,30
Innovation Academy Charter (District),04350000,94,79,84,0,44.3,20.3,35.4,20.3,11.4,19
Ipswich,01440000,117,90,76.9,0,35.6,13.3,51.1,13.3,13.3,15.6
KIPP Academy Lynn Charter (District),04290000,108,88,81.5,0,37.5,19.3,43.2,19.3,21.6,19.3
King Philip,06900000,318,276,86.8,0,41.7,6.5,51.8,5.8,12.3,19.2
Kingston,01450000,2,,,,,,,,,
Lawrence,01490000,697,373,53.5,0.3,13.7,66.8,19.3,64.1,7.5,11.5
Lee,01500000,56,36,64.3,0,36.1,36.1,27.8,33.3,13.9,8.3
Leicester,01510000,98,79,80.6,0,24.1,21.5,54.4,21.5,29.1,19
Lenox,01520000,49,41,83.7,0,34.1,29.3,36.6,29.3,4.9,14.6
Leominster,01530000,421,255,60.6,0.4,22.7,27.8,49,27.1,18.8,23.5
Lexington,01550000,552,451,81.7,0,55,2.9,42.1,2.7,0.7,21.5
Lincoln-Sudbury,06950000,375,327,87.2,0,61.2,2.8,36.1,2.4,2.1,12.8
Littleton,01580000,115,98,85.2,0,49,11.2,39.8,11.2,6.1,17.3
Longmeadow,01590000,248,216,87.1,0,62,12.5,25.5,10.6,8.8,8.8
Lowell,01600000,714,503,70.4,0,15.7,43.3,41,42.1,5.6,31.2
Lowell Middlesex Academy Charter (District),04580000,14,,,,,,,,,
Ludlow,01610000,199,154,77.4,0,35.7,37.7,26.6,37.7,11.7,12.3
Lunenburg,01620000,103,84,81.6,0,22.6,16.7,60.7,16.7,20.2,21.4
Lynn,01630000,947,514,54.3,0,16,47.5,36.6,45.1,21.2,14
Lynnfield,01640000,167,149,89.2,0.7,46.3,7.4,45.6,6.7,7.4,13.4
MATCH Charter Public School (District),04690000,58,53,91.4,0,28.3,18.9,52.8,18.9,22.6,28.3
Ma Academy for Math and Science,04680000,49,46,93.9,0,71.7,0,28.3,0,0,10.9
Malden,01650000,427,295,69.1,0,29.2,33.6,37.3,33.6,8.1,27.5
Manchester Essex Regional,06980000,103,83,80.6,0,45.8,7.2,47,7.2,4.8,25.3
