2018-19 Advanced Placement Performance - All Subjects - All Students,,,,,,,,,
District Name,District Code,Tests Taken,Score=1,Score=2,Score=3,Score=4,Score=5,% Score 1-2,% Score 3-5
Monson,01910000,     106,      19,      38,      28,      13,       8,  53.8,  46.2
Montachusett Regional Vocational Technical,08320000,     147,      21,      46,      55,      23,       2,  45.6,  54.4
Mount Greylock,07150000,     304,      33,      65,      80,      80,      46,  32.2,  67.8
Nantucket,01970000,     193,      15,      43,      67,      46,      22,  30.1,  69.9
Narragansett,07200000,     173,      46,      51,      49,      12,      15,  56.1,  43.9
Nashoba,07250000,     554,      18,      55,     151,     165,     165,  13.2,  86.8
Nashoba Valley Regional Vocational Technical,08520000,     130,      41,      53,      29,       6,       1,  72.3,  27.7
Natick,01980000,     953,      43,      98,     217,     270,     325,  14.8,  85.2
Nauset,06600000,     555,      20,      74,     143,     172,     146,  16.9,  83.1
Needham,01990000,     892,      16,      63,     188,     292,     333,   8.9,  91.1
New Bedford,02010000,     532,     117,     177,     159,      53,      26,  55.3,  44.7
Newburyport,02040000,     342,       6,      48,     105,     113,      70,  15.8,  84.2
Newton,02070000,"   2,135",      34,     164,     423,     595,     919,   9.3,  90.7
Norfolk County Agricultural,09150000,       9,,,,,,,
North Adams,02090000,     262,     147,      68,      29,      14,       4,  82.1,  17.9
North Andover,02110000,     560,      10,      67,     154,     171,     158,  13.8,  86.3
North Attleborough,02120000,     474,      11,      48,     153,     133,     129,  12.4,  87.6
North Brookfield,02150000,      46,       8,      21,      12,       3,       2,  63.0,  37.0
North Middlesex,07350000,     333,      33,     111,     111,      47,      31,  43.2,  56.8
North Reading,02170000,     412,      31,     103,     110,      89,      79,  32.5,  67.5
Northampton,02100000,     471,       7,      49,     120,     144,     151,  11.9,  88.1
Northampton-Smith Vocational Agricultural,04060000,      11,       6,       4,       1,       0,       0,  90.9,   9.1
Northboro-Southboro,07300000,     799,      18,      53,     200,     242,     286,   8.9,  91.1
Northbridge,02140000,     216,      40,      57,      68,      38,      13,  44.9,  55.1
Northeast Metropolitan Regional Vocational Technical,08530000,     132,      47,      53,      29,       3,       0,  75.8,  24.2
